date,title,amount
2026-02-14,"IOF de ""Google *Google One""",1.30
2026-02-14,Google *Google One,37.19
2026-02-13,Hotmart Hotmart Pages,190.50
2026-02-12,"IOF de ""Contentcreator.Com""",9.21
2026-02-12,Contentcreator.Com,263.33
2026-02-12,"IOF de ""Contentcreator.Com""",18.43
2026-02-12,Contentcreator.Com,526.66
2026-02-11,Auto Posto,155.94
2026-02-10,Pagamento recebido,-986.19
2026-02-06,Confianca Sorocaba,74.92
2026-02-05,Cafe Pimenta,13.30
2026-01-23,Autopostonovo,100.00
2026-01-21,Centro Aut Jd do Estad,100.00
2026-01-20,Pagamento recebido,-230.54
2026-01-16,Contabilizei Tecnologi,369.00
2026-01-15,Ebn*Canva0468 - Parcela 4/12,24.15
2026-01-15,Ebn *Canva04583 - Parcela 7/12,24.15
2026-01-15,Htm*O Novo Mercado Esc - Parcela 6/12,54.33
2026-01-15,Luciano de Souza Pesso - Parcela 5/12,19.15
2026-01-15,Luciano de Souza Pesso - Parcela 5/5,8.19
2026-01-15,Adaptaorg - Parcela 4/12,199.00
